Id,County,Province_State,Country_Region,Population,Weight,Date,Target,TargetValue
86553,,Alabama,US,4887871,0.064925505,2020/2/8,ConfirmedCases,0
86554,,Alabama,US,4887871,0.649255049,2020/2/8,Fatalities,0
86555,,Alabama,US,4887871,0.064925505,2020/2/9,ConfirmedCases,0
86556,,Alabama,US,4887871,0.649255049,2020/2/9,Fatalities,0
86557,,Alabama,US,4887871,0.064925505,2020/2/10,ConfirmedCases,0
86558,,Alabama,US,4887871,0.649255049,2020/2/10,Fatalities,0
86559,,Alabama,US,4887871,0.064925505,2020/2/11,ConfirmedCases,0
86560,,Alabama,US,4887871,0.649255049,2020/2/11,Fatalities,0
86561,,Alabama,US,4887871,0.064925505,2020/2/12,ConfirmedCases,0
86562,,Alabama,US,4887871,0.649255049,2020/2/12,Fatalities,0
86563,,Alabama,US,4887871,0.064925505,2020/2/13,ConfirmedCases,0
86564,,Alabama,US,4887871,0.649255049,2020/2/13,Fatalities,0
86565,,Alabama,US,4887871,0.064925505,2020/2/14,ConfirmedCases,0
86566,,Alabama,US,4887871,0.649255049,2020/2/14,Fatalities,0
86567,,Alabama,US,4887871,0.064925505,2020/2/15,ConfirmedCases,0
86568,,Alabama,US,4887871,0.649255049,2020/2/15,Fatalities,0
86569,,Alabama,US,4887871,0.064925505,2020/2/16,ConfirmedCases,0
86570,,Alabama,US,4887871,0.649255049,2020/2/16,Fatalities,0
86571,,Alabama,US,4887871,0.064925505,2020/2/17,ConfirmedCases,0
86572,,Alabama,US,4887871,0.649255049,2020/2/17,Fatalities,0
86573,,Alabama,US,4887871,0.064925505,2020/2/18,ConfirmedCases,0
86574,,Alabama,US,4887871,0.649255049,2020/2/18,Fatalities,0
86575,,Alabama,US,4887871,0.064925505,2020/2/19,ConfirmedCases,0
86576,,Alabama,US,4887871,0.649255049,2020/2/19,Fatalities,0
86577,,Alabama,US,4887871,0.064925505,2020/2/20,ConfirmedCases,0
86578,,Alabama,US,4887871,0.649255049,2020/2/20,Fatalities,0
86579,,Alabama,US,4887871,0.064925505,2020/2/21,ConfirmedCases,0
86580,,Alabama,US,4887871,0.649255049,2020/2/21,Fatalities,0
86581,,Alabama,US,4887871,0.064925505,2020/2/22,ConfirmedCases,0
86582,,Alabama,US,4887871,0.649255049,2020/2/22,Fatalities,0
86583,,Alabama,US,4887871,0.064925505,2020/2/23,ConfirmedCases,0
86584,,Alabama,US,4887871,0.649255049,2020/2/23,Fatalities,0
86585,,Alabama,US,4887871,0.064925505,2020/2/24,ConfirmedCases,0
86586,,Alabama,US,4887871,0.649255049,2020/2/24,Fatalities,0
86587,,Alabama,US,4887871,0.064925505,2020/2/25,ConfirmedCases,0
86588,,Alabama,US,4887871,0.649255049,2020/2/25,Fatalities,0
86589,,Alabama,US,4887871,0.064925505,2020/2/26,ConfirmedCases,0
86590,,Alabama,US,4887871,0.649255049,2020/2/26,Fatalities,0
86591,,Alabama,US,4887871,0.064925505,2020/2/27,ConfirmedCases,0
86592,,Alabama,US,4887871,0.649255049,2020/2/27,Fatalities,0
86593,,Alabama,US,4887871,0.064925505,2020/2/28,ConfirmedCases,0
86594,,Alabama,US,4887871,0.649255049,2020/2/28,Fatalities,0
86595,,Alabama,US,4887871,0.064925505,2020/2/29,ConfirmedCases,0
86596,,Alabama,US,4887871,0.649255049,2020/2/29,Fatalities,0
86597,,Alabama,US,4887871,0.064925505,2020/3/1,ConfirmedCases,0
86598,,Alabama,US,4887871,0.649255049,2020/3/1,Fatalities,0
86599,,Alabama,US,4887871,0.064925505,2020/3/2,ConfirmedCases,0
86600,,Alabama,US,4887871,0.649255049,2020/3/2,Fatalities,0
86601,,Alabama,US,4887871,0.064925505,2020/3/3,ConfirmedCases,0
86602,,Alabama,US,4887871,0.649255049,2020/3/3,Fatalities,0
86603,,Alabama,US,4887871,0.064925505,2020/3/4,ConfirmedCases,0
86604,,Alabama,US,4887871,0.649255049,2020/3/4,Fatalities,0
86605,,Alabama,US,4887871,0.064925505,2020/3/5,ConfirmedCases,0
86606,,Alabama,US,4887871,0.649255049,2020/3/5,Fatalities,0
86607,,Alabama,US,4887871,0.064925505,2020/3/6,ConfirmedCases,0
86608,,Alabama,US,4887871,0.649255049,2020/3/6,Fatalities,0
86609,,Alabama,US,4887871,0.064925505,2020/3/7,ConfirmedCases,0
86610,,Alabama,US,4887871,0.649255049,2020/3/7,Fatalities,0
86611,,Alabama,US,4887871,0.064925505,2020/3/8,ConfirmedCases,0
86612,,Alabama,US,4887871,0.649255049,2020/3/8,Fatalities,0
86613,,Alabama,US,4887871,0.064925505,2020/3/9,ConfirmedCases,0
86614,,Alabama,US,4887871,0.649255049,2020/3/9,Fatalities,0
86615,,Alabama,US,4887871,0.064925505,2020/3/10,ConfirmedCases,0
86616,,Alabama,US,4887871,0.649255049,2020/3/10,Fatalities,0
86617,,Alabama,US,4887871,0.064925505,2020/3/11,ConfirmedCases,0
86618,,Alabama,US,4887871,0.649255049,2020/3/11,Fatalities,0
86619,,Alabama,US,4887871,0.064925505,2020/3/12,ConfirmedCases,0
86620,,Alabama,US,4887871,0.649255049,2020/3/12,Fatalities,0
86621,,Alabama,US,4887871,0.064925505,2020/3/13,ConfirmedCases,5
86622,,Alabama,US,4887871,0.649255049,2020/3/13,Fatalities,0
86623,,Alabama,US,4887871,0.064925505,2020/3/14,ConfirmedCases,1
86624,,Alabama,US,4887871,0.649255049,2020/3/14,Fatalities,0
86625,,Alabama,US,4887871,0.064925505,2020/3/15,ConfirmedCases,6
86626,,Alabama,US,4887871,0.649255049,2020/3/15,Fatalities,0
86627,,Alabama,US,4887871,0.064925505,2020/3/16,ConfirmedCases,17
86628,,Alabama,US,4887871,0.649255049,2020/3/16,Fatalities,0
86629,,Alabama,US,4887871,0.064925505,2020/3/17,ConfirmedCases,10
86630,,Alabama,US,4887871,0.649255049,2020/3/17,Fatalities,0
86631,,Alabama,US,4887871,0.064925505,2020/3/18,ConfirmedCases,7
86632,,Alabama,US,4887871,0.649255049,2020/3/18,Fatalities,0
86633,,Alabama,US,4887871,0.064925505,2020/3/19,ConfirmedCases,32
86634,,Alabama,US,4887871,0.649255049,2020/3/19,Fatalities,0
86635,,Alabama,US,4887871,0.064925505,2020/3/20,ConfirmedCases,5
86636,,Alabama,US,4887871,0.649255049,2020/3/20,Fatalities,0
86637,,Alabama,US,4887871,0.064925505,2020/3/21,ConfirmedCases,48
86638,,Alabama,US,4887871,0.649255049,2020/3/21,Fatalities,0
86639,,Alabama,US,4887871,0.064925505,2020/3/22,ConfirmedCases,26
86640,,Alabama,US,4887871,0.649255049,2020/3/22,Fatalities,0
86641,,Alabama,US,4887871,0.064925505,2020/3/23,ConfirmedCases,39
86642,,Alabama,US,4887871,0.649255049,2020/3/23,Fatalities,0
86643,,Alabama,US,4887871,0.064925505,2020/3/24,ConfirmedCases,46
86644,,Alabama,US,4887871,0.649255049,2020/3/24,Fatalities,0
86645,,Alabama,US,4887871,0.064925505,2020/3/25,ConfirmedCases,139
86646,,Alabama,US,4887871,0.649255049,2020/3/25,Fatalities,1
86647,,Alabama,US,4887871,0.064925505,2020/3/26,ConfirmedCases,136
86648,,Alabama,US,4887871,0.649255049,2020/3/26,Fatalities,0
86649,,Alabama,US,4887871,0.064925505,2020/3/27,ConfirmedCases,70
86650,,Alabama,US,4887871,0.649255049,2020/3/27,Fatalities,3
86651,,Alabama,US,4887871,0.064925505,2020/3/28,ConfirmedCases,107
86652,,Alabama,US,4887871,0.649255049,2020/3/28,Fatalities,0
86653,,Alabama,US,4887871,0.064925505,2020/3/29,ConfirmedCases,131
86654,,Alabama,US,4887871,0.649255049,2020/3/29,Fatalities,6
86655,,Alabama,US,4887871,0.064925505,2020/3/30,ConfirmedCases,74
86656,,Alabama,US,4887871,0.649255049,2020/3/30,Fatalities,0
86657,,Alabama,US,4887871,0.064925505,2020/3/31,ConfirmedCases,88
86658,,Alabama,US,4887871,0.649255049,2020/3/31,Fatalities,13
86659,,Alabama,US,4887871,0.064925505,2020/4/1,ConfirmedCases,73
86660,,Alabama,US,4887871,0.649255049,2020/4/1,Fatalities,4
86661,,Alabama,US,4887871,0.064925505,2020/4/2,ConfirmedCases,173
86662,,Alabama,US,4887871,0.649255049,2020/4/2,Fatalities,5
86663,,Alabama,US,4887871,0.064925505,2020/4/3,ConfirmedCases,262
86664,,Alabama,US,4887871,0.649255049,2020/4/3,Fatalities,6
86665,,Alabama,US,4887871,0.064925505,2020/4/4,ConfirmedCases,119
86666,,Alabama,US,4887871,0.649255049,2020/4/4,Fatalities,6
86667,,Alabama,US,4887871,0.064925505,2020/4/5,ConfirmedCases,151
86668,,Alabama,US,4887871,0.649255049,2020/4/5,Fatalities,1
86669,,Alabama,US,4887871,0.064925505,2020/4/6,ConfirmedCases,187
86670,,Alabama,US,4887871,0.649255049,2020/4/6,Fatalities,4
86671,,Alabama,US,4887871,0.064925505,2020/4/7,ConfirmedCases,217
86672,,Alabama,US,4887871,0.649255049,2020/4/7,Fatalities,15
86673,,Alabama,US,4887871,0.064925505,2020/4/8,ConfirmedCases,159
86674,,Alabama,US,4887871,0.649255049,2020/4/8,Fatalities,2
86675,,Alabama,US,4887871,0.064925505,2020/4/9,ConfirmedCases,375
86676,,Alabama,US,4887871,0.649255049,2020/4/9,Fatalities,4
86677,,Alabama,US,4887871,0.064925505,2020/4/10,ConfirmedCases,244
86678,,Alabama,US,4887871,0.649255049,2020/4/10,Fatalities,10
86679,,Alabama,US,4887871,0.064925505,2020/4/11,ConfirmedCases,270
86680,,Alabama,US,4887871,0.649255049,2020/4/11,Fatalities,12
86681,,Alabama,US,4887871,0.064925505,2020/4/12,ConfirmedCases,346
86682,,Alabama,US,4887871,0.649255049,2020/4/12,Fatalities,1
86683,,Alabama,US,4887871,0.064925505,2020/4/13,ConfirmedCases,171
86684,,Alabama,US,4887871,0.649255049,2020/4/13,Fatalities,6
86685,,Alabama,US,4887871,0.064925505,2020/4/14,ConfirmedCases,219
86686,,Alabama,US,4887871,0.649255049,2020/4/14,Fatalities,15
86687,,Alabama,US,4887871,0.064925505,2020/4/15,ConfirmedCases,122
86688,,Alabama,US,4887871,0.649255049,2020/4/15,Fatalities,4
86689,,Alabama,US,4887871,0.064925505,2020/4/16,ConfirmedCases,270
86690,,Alabama,US,4887871,0.649255049,2020/4/16,Fatalities,15
86691,,Alabama,US,4887871,0.064925505,2020/4/17,ConfirmedCases,226
86692,,Alabama,US,4887871,0.649255049,2020/4/17,Fatalities,15
86693,,Alabama,US,4887871,0.064925505,2020/4/18,ConfirmedCases,141
86694,,Alabama,US,4887871,0.649255049,2020/4/18,Fatalities,5
86695,,Alabama,US,4887871,0.064925505,2020/4/19,ConfirmedCases,176
86696,,Alabama,US,4887871,0.649255049,2020/4/19,Fatalities,4
86697,,Alabama,US,4887871,0.064925505,2020/4/20,ConfirmedCases,191
86698,,Alabama,US,4887871,0.649255049,2020/4/20,Fatalities,6
86699,,Alabama,US,4887871,0.064925505,2020/4/21,ConfirmedCases,238
86700,,Alabama,US,4887871,0.649255049,2020/4/21,Fatalities,20
86701,,Alabama,US,4887871,0.064925505,2020/4/22,ConfirmedCases,276
86702,,Alabama,US,4887871,0.649255049,2020/4/22,Fatalities,13
86703,,Alabama,US,4887871,0.064925505,2020/4/23,ConfirmedCases,239
86704,,Alabama,US,4887871,0.649255049,2020/4/23,Fatalities,6
86705,,Alabama,US,4887871,0.064925505,2020/4/24,ConfirmedCases,194
86706,,Alabama,US,4887871,0.649255049,2020/4/24,Fatalities,7
86707,,Alabama,US,4887871,0.064925505,2020/4/25,ConfirmedCases,0
86708,,Alabama,US,4887871,0.649255049,2020/4/25,Fatalities,0
86709,,Alabama,US,4887871,0.064925505,2020/4/26,ConfirmedCases,395
86710,,Alabama,US,4887871,0.649255049,2020/4/26,Fatalities,10
86711,,Alabama,US,4887871,0.064925505,2020/4/27,ConfirmedCases,118
86712,,Alabama,US,4887871,0.649255049,2020/4/27,Fatalities,9
86713,,Alabama,US,4887871,0.064925505,2020/4/28,ConfirmedCases,211
86714,,Alabama,US,4887871,0.649255049,2020/4/28,Fatalities,14
86715,,Alabama,US,4887871,0.064925505,2020/4/29,ConfirmedCases,162
86716,,Alabama,US,4887871,0.649255049,2020/4/29,Fatalities,14
86717,,Alabama,US,4887871,0.064925505,2020/4/30,ConfirmedCases,176
86718,,Alabama,US,4887871,0.649255049,2020/4/30,Fatalities,16
86719,,Alabama,US,4887871,0.064925505,2020/5/1,ConfirmedCases,206
86720,,Alabama,US,4887871,0.649255049,2020/5/1,Fatalities,17
86721,,Alabama,US,4887871,0.064925505,2020/5/2,ConfirmedCases,317
86722,,Alabama,US,4887871,0.649255049,2020/5/2,Fatalities,-1
86723,,Alabama,US,4887871,0.064925505,2020/5/3,ConfirmedCases,277
86724,,Alabama,US,4887871,0.649255049,2020/5/3,Fatalities,2
86725,,Alabama,US,4887871,0.064925505,2020/5/4,ConfirmedCases,224
86726,,Alabama,US,4887871,0.649255049,2020/5/4,Fatalities,8
86727,,Alabama,US,4887871,0.064925505,2020/5/5,ConfirmedCases,325
86728,,Alabama,US,4887871,0.649255049,2020/5/5,Fatalities,17
86729,,Alabama,US,4887871,0.064925505,2020/5/6,ConfirmedCases,254
86730,,Alabama,US,4887871,0.649255049,2020/5/6,Fatalities,28
86731,,Alabama,US,4887871,0.064925505,2020/5/7,ConfirmedCases,355
86732,,Alabama,US,4887871,0.649255049,2020/5/7,Fatalities,26
86733,,Alabama,US,4887871,0.064925505,2020/5/8,ConfirmedCases,339
86734,,Alabama,US,4887871,0.649255049,2020/5/8,Fatalities,14
86735,,Alabama,US,4887871,0.064925505,2020/5/9,ConfirmedCases,283
86736,,Alabama,US,4887871,0.649255049,2020/5/9,Fatalities,7
86737,,Alabama,US,4887871,0.064925505,2020/5/10,ConfirmedCases,221
86738,,Alabama,US,4887871,0.649255049,2020/5/10,Fatalities,3
86739,,Alabama,US,4887871,0.064925505,2020/5/11,ConfirmedCases,275
86740,,Alabama,US,4887871,0.649255049,2020/5/11,Fatalities,10
86741,,Alabama,US,4887871,0.064925505,2020/5/12,ConfirmedCases,300
86742,,Alabama,US,4887871,0.649255049,2020/5/12,Fatalities,32
86743,,Alabama,US,4887871,0.064925505,2020/5/13,ConfirmedCases,236
86744,,Alabama,US,4887871,0.649255049,2020/5/13,Fatalities,15
86745,,Alabama,US,4887871,0.064925505,2020/5/14,ConfirmedCases,401
86746,,Alabama,US,4887871,0.649255049,2020/5/14,Fatalities,23
86747,,Alabama,US,4887871,0.064925505,2020/5/15,ConfirmedCases,272
86748,,Alabama,US,4887871,0.649255049,2020/5/15,Fatalities,10
86749,,Alabama,US,4887871,0.064925505,2020/5/16,ConfirmedCases,301
86750,,Alabama,US,4887871,0.649255049,2020/5/16,Fatalities,2
86751,,Alabama,US,4887871,0.064925505,2020/5/17,ConfirmedCases,97
86752,,Alabama,US,4887871,0.649255049,2020/5/17,Fatalities,3
86753,,Alabama,US,4887871,0.064925505,2020/5/18,ConfirmedCases,315
86754,,Alabama,US,4887871,0.649255049,2020/5/18,Fatalities,1
86755,,Alabama,US,4887871,0.064925505,2020/5/19,ConfirmedCases,290
86756,,Alabama,US,4887871,0.649255049,2020/5/19,Fatalities,15
86757,,Alabama,US,4887871,0.064925505,2020/5/20,ConfirmedCases,676
86758,,Alabama,US,4887871,0.649255049,2020/5/20,Fatalities,18
86759,,Alabama,US,4887871,0.064925505,2020/5/21,ConfirmedCases,236
86760,,Alabama,US,4887871,0.649255049,2020/5/21,Fatalities,7
86761,,Alabama,US,4887871,0.064925505,2020/5/22,ConfirmedCases,382
86762,,Alabama,US,4887871,0.649255049,2020/5/22,Fatalities,12
86763,,Alabama,US,4887871,0.064925505,2020/5/23,ConfirmedCases,447
86764,,Alabama,US,4887871,0.649255049,2020/5/23,Fatalities,8
86765,,Alabama,US,4887871,0.064925505,2020/5/24,ConfirmedCases,361
86766,,Alabama,US,4887871,0.649255049,2020/5/24,Fatalities,2
86767,,Alabama,US,4887871,0.064925505,2020/5/25,ConfirmedCases,508
86768,,Alabama,US,4887871,0.649255049,2020/5/25,Fatalities,15
86769,,Alabama,US,4887871,0.064925505,2020/5/26,ConfirmedCases,664
86770,,Alabama,US,4887871,0.649255049,2020/5/26,Fatalities,14
86771,,Alabama,US,4887871,0.064925505,2020/5/27,ConfirmedCases,382
86772,,Alabama,US,4887871,0.649255049,2020/5/27,Fatalities,3
86773,,Alabama,US,4887871,0.064925505,2020/5/28,ConfirmedCases,498
86774,,Alabama,US,4887871,0.649255049,2020/5/28,Fatalities,8
86775,,Alabama,US,4887871,0.064925505,2020/5/29,ConfirmedCases,501
86776,,Alabama,US,4887871,0.649255049,2020/5/29,Fatalities,19
86777,,Alabama,US,4887871,0.064925505,2020/5/30,ConfirmedCases,328
86778,,Alabama,US,4887871,0.649255049,2020/5/30,Fatalities,8
86779,,Alabama,US,4887871,0.064925505,2020/5/31,ConfirmedCases,593
86780,,Alabama,US,4887871,0.649255049,2020/5/31,Fatalities,12
86781,,Alabama,US,4887871,0.064925505,2020/6/1,ConfirmedCases,678
86782,,Alabama,US,4887871,0.649255049,2020/6/1,Fatalities,16
86783,,Alabama,US,4887871,0.064925505,2020/6/2,ConfirmedCases,136
86784,,Alabama,US,4887871,0.649255049,2020/6/2,Fatalities,7
86785,,Alabama,US,4887871,0.064925505,2020/6/3,ConfirmedCases,85
86786,,Alabama,US,4887871,0.649255049,2020/6/3,Fatalities,0
86787,,Alabama,US,4887871,0.064925505,2020/6/4,ConfirmedCases,221
86788,,Alabama,US,4887871,0.649255049,2020/6/4,Fatalities,0
86789,,Alabama,US,4887871,0.064925505,2020/6/5,ConfirmedCases,315
86790,,Alabama,US,4887871,0.649255049,2020/6/5,Fatalities,23
86791,,Alabama,US,4887871,0.064925505,2020/6/6,ConfirmedCases,656
86792,,Alabama,US,4887871,0.649255049,2020/6/6,Fatalities,13
86793,,Alabama,US,4887871,0.064925505,2020/6/7,ConfirmedCases,457
86794,,Alabama,US,4887871,0.649255049,2020/6/7,Fatalities,3
86795,,Alabama,US,4887871,0.064925505,2020/6/8,ConfirmedCases,425
86796,,Alabama,US,4887871,0.649255049,2020/6/8,Fatalities,26
86797,,Alabama,US,4887871,0.064925505,2020/6/9,ConfirmedCases,497
86798,,Alabama,US,4887871,0.649255049,2020/6/9,Fatalities,11
86799,,Alabama,US,4887871,0.064925505,2020/6/10,ConfirmedCases,567
86800,,Alabama,US,4887871,0.649255049,2020/6/10,Fatalities,15
94921,,Alaska,US,737438,0.074014103,2020/1/23,ConfirmedCases,0
94922,,Alaska,US,737438,0.740141026,2020/1/23,Fatalities,0
94923,,Alaska,US,737438,0.074014103,2020/1/24,ConfirmedCases,0
94924,,Alaska,US,737438,0.740141026,2020/1/24,Fatalities,0
94925,,Alaska,US,737438,0.074014103,2020/1/25,ConfirmedCases,0
94926,,Alaska,US,737438,0.740141026,2020/1/25,Fatalities,0
94927,,Alaska,US,737438,0.074014103,2020/1/26,ConfirmedCases,0
94928,,Alaska,US,737438,0.740141026,2020/1/26,Fatalities,0
94929,,Alaska,US,737438,0.074014103,2020/1/27,ConfirmedCases,0
94930,,Alaska,US,737438,0.740141026,2020/1/27,Fatalities,0
94931,,Alaska,US,737438,0.074014103,2020/1/28,ConfirmedCases,0
94932,,Alaska,US,737438,0.740141026,2020/1/28,Fatalities,0
94933,,Alaska,US,737438,0.074014103,2020/1/29,ConfirmedCases,0
94934,,Alaska,US,737438,0.740141026,2020/1/29,Fatalities,0
94935,,Alaska,US,737438,0.074014103,2020/1/30,ConfirmedCases,0
94936,,Alaska,US,737438,0.740141026,2020/1/30,Fatalities,0
94937,,Alaska,US,737438,0.074014103,2020/1/31,ConfirmedCases,0
94938,,Alaska,US,737438,0.740141026,2020/1/31,Fatalities,0
94939,,Alaska,US,737438,0.074014103,2020/2/1,ConfirmedCases,0
94940,,Alaska,US,737438,0.740141026,2020/2/1,Fatalities,0
94941,,Alaska,US,737438,0.074014103,2020/2/2,ConfirmedCases,0
94942,,Alaska,US,737438,0.740141026,2020/2/2,Fatalities,0
94943,,Alaska,US,737438,0.074014103,2020/2/3,ConfirmedCases,0
94944,,Alaska,US,737438,0.740141026,2020/2/3,Fatalities,0
94945,,Alaska,US,737438,0.074014103,2020/2/4,ConfirmedCases,0
94946,,Alaska,US,737438,0.740141026,2020/2/4,Fatalities,0
94947,,Alaska,US,737438,0.074014103,2020/2/5,ConfirmedCases,0
94948,,Alaska,US,737438,0.740141026,2020/2/5,Fatalities,0
94949,,Alaska,US,737438,0.074014103,2020/2/6,ConfirmedCases,0
94950,,Alaska,US,737438,0.740141026,2020/2/6,Fatalities,0
94951,,Alaska,US,737438,0.074014103,2020/2/7,ConfirmedCases,0
94952,,Alaska,US,737438,0.740141026,2020/2/7,Fatalities,0
94953,,Alaska,US,737438,0.074014103,2020/2/8,ConfirmedCases,0
94954,,Alaska,US,737438,0.740141026,2020/2/8,Fatalities,0
94955,,Alaska,US,737438,0.074014103,2020/2/9,ConfirmedCases,0
94956,,Alaska,US,737438,0.740141026,2020/2/9,Fatalities,0
94957,,Alaska,US,737438,0.074014103,2020/2/10,ConfirmedCases,0
94958,,Alaska,US,737438,0.740141026,2020/2/10,Fatalities,0
94959,,Alaska,US,737438,0.074014103,2020/2/11,ConfirmedCases,0
94960,,Alaska,US,737438,0.740141026,2020/2/11,Fatalities,0
94961,,Alaska,US,737438,0.074014103,2020/2/12,ConfirmedCases,0
94962,,Alaska,US,737438,0.740141026,2020/2/12,Fatalities,0
94963,,Alaska,US,737438,0.074014103,2020/2/13,ConfirmedCases,0
94964,,Alaska,US,737438,0.740141026,2020/2/13,Fatalities,0
94965,,Alaska,US,737438,0.074014103,2020/2/14,ConfirmedCases,0
94966,,Alaska,US,737438,0.740141026,2020/2/14,Fatalities,0
94967,,Alaska,US,737438,0.074014103,2020/2/15,ConfirmedCases,0
94968,,Alaska,US,737438,0.740141026,2020/2/15,Fatalities,0
94969,,Alaska,US,737438,0.074014103,2020/2/16,ConfirmedCases,0
94970,,Alaska,US,737438,0.740141026,2020/2/16,Fatalities,0
94971,,Alaska,US,737438,0.074014103,2020/2/17,ConfirmedCases,0
94972,,Alaska,US,737438,0.740141026,2020/2/17,Fatalities,0
94973,,Alaska,US,737438,0.074014103,2020/2/18,ConfirmedCases,0
94974,,Alaska,US,737438,0.740141026,2020/2/18,Fatalities,0
94975,,Alaska,US,737438,0.074014103,2020/2/19,ConfirmedCases,0
94976,,Alaska,US,737438,0.740141026,2020/2/19,Fatalities,0
94977,,Alaska,US,737438,0.074014103,2020/2/20,ConfirmedCases,0
94978,,Alaska,US,737438,0.740141026,2020/2/20,Fatalities,0
94979,,Alaska,US,737438,0.074014103,2020/2/21,ConfirmedCases,0
94980,,Alaska,US,737438,0.740141026,2020/2/21,Fatalities,0
94981,,Alaska,US,737438,0.074014103,2020/2/22,ConfirmedCases,0
94982,,Alaska,US,737438,0.740141026,2020/2/22,Fatalities,0
94983,,Alaska,US,737438,0.074014103,2020/2/23,ConfirmedCases,0
94984,,Alaska,US,737438,0.740141026,2020/2/23,Fatalities,0
94985,,Alaska,US,737438,0.074014103,2020/2/24,ConfirmedCases,0
94986,,Alaska,US,737438,0.740141026,2020/2/24,Fatalities,0
94987,,Alaska,US,737438,0.074014103,2020/2/25,ConfirmedCases,0
94988,,Alaska,US,737438,0.740141026,2020/2/25,Fatalities,0
94989,,Alaska,US,737438,0.074014103,2020/2/26,ConfirmedCases,0
94990,,Alaska,US,737438,0.740141026,2020/2/26,Fatalities,0
94991,,Alaska,US,737438,0.074014103,2020/2/27,ConfirmedCases,0
94992,,Alaska,US,737438,0.740141026,2020/2/27,Fatalities,0
94993,,Alaska,US,737438,0.074014103,2020/2/28,ConfirmedCases,0
94994,,Alaska,US,737438,0.740141026,2020/2/28,Fatalities,0
94995,,Alaska,US,737438,0.074014103,2020/2/29,ConfirmedCases,0
94996,,Alaska,US,737438,0.740141026,2020/2/29,Fatalities,0
94997,,Alaska,US,737438,0.074014103,2020/3/1,ConfirmedCases,0
94998,,Alaska,US,737438,0.740141026,2020/3/1,Fatalities,0
94999,,Alaska,US,737438,0.074014103,2020/3/2,ConfirmedCases,0
95000,,Alaska,US,737438,0.740141026,2020/3/2,Fatalities,0
95001,,Alaska,US,737438,0.074014103,2020/3/3,ConfirmedCases,0
95002,,Alaska,US,737438,0.740141026,2020/3/3,Fatalities,0
95003,,Alaska,US,737438,0.074014103,2020/3/4,ConfirmedCases,0
95004,,Alaska,US,737438,0.740141026,2020/3/4,Fatalities,0
95005,,Alaska,US,737438,0.074014103,2020/3/5,ConfirmedCases,0
95006,,Alaska,US,737438,0.740141026,2020/3/5,Fatalities,0
95007,,Alaska,US,737438,0.074014103,2020/3/6,ConfirmedCases,0
95008,,Alaska,US,737438,0.740141026,2020/3/6,Fatalities,0
95009,,Alaska,US,737438,0.074014103,2020/3/7,ConfirmedCases,0
95010,,Alaska,US,737438,0.740141026,2020/3/7,Fatalities,0
95011,,Alaska,US,737438,0.074014103,2020/3/8,ConfirmedCases,0
95012,,Alaska,US,737438,0.740141026,2020/3/8,Fatalities,0
95013,,Alaska,US,737438,0.074014103,2020/3/9,ConfirmedCases,0
